zip_code,lon,lat,city,province
3443TJ,4.873984043010287,52.08766622726818,Woerden,Utrecht
2661JK,4.5361723449293825,51.97307588702677,Bergschenhoek,South Holland
6021JM,5.564493332601084,51.27028258490222,Budel,North Brabant
1021KB,4.928221984561384,52.38399479228979,Amsterdam,North Holland
5831AL,5.935390255015909,51.64184844883101,Boxmeer,North Brabant
1689AH,5.064344728357074,52.666594235584384,Zwaag,North Holland
6412ZL,5.945577110145745,50.904544321977426,Heerlen,Limburg
3449JA,4.861928104917273,52.084926726456715,Woerden,Utrecht
2984BL,4.620011216244045,51.87600493340418,Ridderkerk,South Holland
9206BA,6.077103203485579,53.11964407559329,Drachten,Friesland
2802AK,4.695120095457771,52.01255813585748,Gouda,South Holland
8121EV,6.114166038425837,52.347271120855446,Olst,Overijssel
5405BE,5.656338308188633,51.65428317794389,Uden,North Brabant
8304BA,5.757963278408898,52.696503989251205,Emmeloord,Flevoland
7007CD,6.278652254470902,51.945365103861555,Doetinchem,Guelders
4061RP,5.379137743279138,51.84619023374273,Ophemert,Guelders
6716BJ,5.61916684145925,52.03616879946532,Ede,Guelders
3542DJ,5.044523392836427,52.12144829434741,Utrecht,Utrecht
8723EA,5.452348273421692,52.9151250990628,Koudum,Friesland
4879NC,4.613487654477111,51.56028217272414,Etten-Leur,North Brabant
1701BZ,4.837724097481488,52.67559181223646,Heerhugowaard,North Holland
6003DH,5.722979040477549,51.26994523181596,Weert,Limburg
6831AJ,5.884934687608465,51.95322740945971,Arnhem,Guelders
1724BE,4.778422915785828,52.70450491481691,Oudkarspel,North Holland
4741RL,4.586963259934074,51.593726955290684,Hoeven,North Brabant
9231DX,6.1798564761509,53.1730837145718,Surhuisterveen,Friesland
8024AB,6.11960245616118,52.52462254007614,Zwolle,Overijssel
9482WE,6.602236125579189,53.083694822713,Tynaarlo,Drenthe
4797SG,4.4344026889075145,51.67591890469237,Willemstad,North Brabant
9321AJ,6.488599724005305,53.15007069835488,Peize,Drenthe
8862TR,5.428340297446822,53.166756133459046,Harlingen,Friesland
4004JM,5.4313898211295015,51.90677041729029,Tiel,Guelders
9351PA,6.3770830884645475,53.166844595559226,Leek,Groningen
6617KR,5.655257335487652,51.85341276686037,Bergharen,Guelders
1521AZ,4.809311020173786,52.484249762168446,Wormerveer,North Holland
